prime,hidden_dim,embed_dim,n_groks
53,64,24,5
53,32,16,4
53,32,8,3
53,32,8,3
53,32,8,2
53,32,8,3
53,32,8,3
47,96,16,3
47,64,24,4
47,64,8,3
47,32,8,4
47,32,8,2
43,64,24,6
43,32,16,3
43,32,8,3
41,96,16,5
41,96,16,4
41,96,16,5
41,64,24,4
41,64,8,3
41,32,8,3
41,32,8,3
41,32,8,3
41,32,8,3
41,32,8,3
37,96,16,4
37,96,16,4
37,64,24,5
37,64,8,2
37,32,16,3
37,32,8,3
37,32,8,4
29,96,16,3
29,96,16,5
29,64,24,5
29,64,8,3
29,32,16,4
29,32,8,3
29,32,8,3
23,96,16,4
23,96,16,4
23,64,8,3
23,32,8,3
23,32,8,4
17,64,24,3
17,32,16,4
17,32,8,3
23,32,8,3
23,64,16,5
53,64,16,5
71,64,16,3
101,64,16,5
